alias,first_author,group,group_start,number_authors,sdi,times_cited,journal,pub_year,velocity,grant_product,Unknown,BIOLOGY,MATHEMATICAL & COMPUTATIONAL BIOLOGY,STATISTICS & PROBABILITY,"ENGINEERING, ELECTRICAL & ELECTRONIC","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",ROBOTICS,TELECOMMUNICATIONS,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",AUTOMATION & CONTROL SYSTEMS,MULTIDISCIPLINARY SCIENCES,PHARMACOLOGY & PHARMACY,CELL BIOLOGY,"COMPUTER SCIENCE, CYBERNETICS",NEUROSCIENCES,MATHEMATICS,ENVIRONMENTAL STUDIES,PLANNING & DEVELOPMENT,HISTORY,LAW,ENERGY & FUELS,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,POLITICAL SCIENCE,OBSTETRICS & GYNECOLOGY,REPRODUCTIVE BIOLOGY,ETHICS,MEDICAL ETHICS,SOCIAL ISSUES,"SOCIAL SCIENCES, BIOMEDICAL",INTERNATIONAL RELATIONS,ENVIRONMENTAL SCIENCES,REHABILITATION,"SOCIAL SCIENCES, INTERDISCIPLINARY",PUBLIC ADMINISTRATION,MANAGEMENT,"ENGINEERING, ENVIRONMENTAL",METEOROLOGY & ATMOSPHERIC SCIENCES,ECONOMICS,THERMODYNAMICS,SOCIOLOGY,"PHYSICS, APPLIED","MATERIALS SCIENCE, MULTIDISCIPLINARY",NANOSCIENCE & NANOTECHNOLOGY,CRYSTALLOGRAPHY,"PHYSICS, CONDENSED MATTER","CHEMISTRY, MULTIDISCIPLINARY",OPTICS,INSTRUMENTS & INSTRUMENTATION,BIOCHEMISTRY & MOLECULAR BIOLOGY,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE","COMPUTER SCIENCE, INFORMATION SYSTEMS","COMPUTER SCIENCE, THEORY & METHODS","EDUCATION, SCIENTIFIC DISCIPLINES","PHYSICS, MULTIDISCIPLINARY","CHEMISTRY, PHYSICAL",POLYMER SCIENCE,"CHEMISTRY, ORGANIC","PHYSICS, ATOMIC, MOLECULAR & CHEMICAL","MEDICINE, RESEARCH & EXPERIMENTAL",BIOTECHNOLOGY & APPLIED MICROBIOLOGY,CELL & TISSUE ENGINEERING,HEMATOLOGY,ONCOLOGY,GENETICS & HEREDITY,TOXICOLOGY,BIOCHEMICAL RESEARCH METHODS,"CHEMISTRY, ANALYTICAL","MEDICINE, GENERAL & INTERNAL",ELECTROCHEMISTRY,SPECTROSCOPY,"GEOSCIENCES, MULTIDISCIPLINARY",AGRICULTURAL ENGINEERING,ASTRONOMY & ASTROPHYSICS,MARINE & FRESHWATER BIOLOGY,ECOLOGY,MICROBIOLOGY,OCEANOGRAPHY,"ENGINEERING, BIOMEDICAL","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",FISHERIES,PLANT SCIENCES,"ENGINEERING, CHEMICAL",BIOPHYSICS,DEVELOPMENTAL BIOLOGY,EVOLUTIONARY BIOLOGY,MYCOLOGY,RESPIRATORY SYSTEM,PHYSIOLOGY,SPORT SCIENCES,"ENGINEERING, MECHANICAL","MATERIALS SCIENCE, BIOMATERIALS","CHEMISTRY, MEDICINAL",PEDIATRICS,MECHANICS,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",TRANSPORTATION,GEOGRAPHY,"ENGINEERING, CIVIL",TRANSPORTATION SCIENCE & TECHNOLOGY,URBAN STUDIES,CONSTRUCTION & BUILDING TECHNOLOGY,OPHTHALMOLOGY,"PSYCHOLOGY, APPLIED","GEOGRAPHY, PHYSICAL",FORESTRY,BIODIVERSITY CONSERVATION,WATER RESOURCES,"PHYSICS, MATHEMATICAL","MATHEMATICS, APPLIED","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","PHYSICS, FLUIDS & PLASMAS",METALLURGY & METALLURGICAL ENGINEERING,"MATERIALS SCIENCE, COATINGS & FILMS",IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY,REMOTE SENSING,AGRONOMY,LIMNOLOGY,"PSYCHOLOGY, MULTIDISCIPLINARY",ENDOCRINOLOGY & METABOLISM,"CHEMISTRY, INORGANIC & NUCLEAR","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS","SOCIAL SCIENCES, MATHEMATICAL METHODS",FAMILY STUDIES,HEALTH CARE SCIENCES & SERVICES,MEDICAL INFORMATICS,PSYCHOLOGY,"PSYCHOLOGY, SOCIAL",ERGONOMICS,AGRICULTURAL ECONOMICS & POLICY,"BUSINESS, FINANCE",BUSINESS,"DENTISTRY, ORAL SURGERY & MEDICINE",OPERATIONS RESEARCH & MANAGEMENT SCIENCE,"ENGINEERING, INDUSTRIAL","ENGINEERING, MULTIDISCIPLINARY","MATERIALS SCIENCE, CERAMICS",GEOCHEMISTRY & GEOPHYSICS,"AGRICULTURE, MULTIDISCIPLINARY",VETERINARY SCIENCES,GEOLOGY,ZOOLOGY,INDUSTRIAL RELATIONS & LABOR,"ENGINEERING, MANUFACTURING","MATERIALS SCIENCE, COMPOSITES",NUCLEAR SCIENCE & TECHNOLOGY,IMMUNOLOGY,ANATOMY & MORPHOLOGY,ACOUSTICS,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",PALEONTOLOGY,PATHOLOGY,ORTHOPEDICS,SURGERY,UROLOGY & NEPHROLOGY,CRITICAL CARE MEDICINE,EMERGENCY MEDICINE,DERMATOLOGY,NUTRITION & DIETETICS,INFECTIOUS DISEASES,RHEUMATOLOGY,FOOD SCIENCE & TECHNOLOGY,"CHEMISTRY, APPLIED",TROPICAL MEDICINE,PERIPHERAL VASCULAR DISEASE,CLINICAL NEUROLOGY,GASTROENTEROLOGY & HEPATOLOGY,ANESTHESIOLOGY,SOIL SCIENCE,"MATERIALS SCIENCE, TEXTILES",NEUROIMAGING,"MATERIALS SCIENCE, CHARACTERIZATION & TESTING",ALLERGY,"EDUCATION, SPECIAL","PSYCHOLOGY, DEVELOPMENTAL",EDUCATION & EDUCATIONAL RESEARCH,"PSYCHOLOGY, EDUCATIONAL","HUMANITIES, MULTIDISCIPLINARY",MINERALOGY,GERIATRICS & GERONTOLOGY,TRANSPLANTATION,AREA STUDIES,"ENGINEERING, AEROSPACE",MEDICAL LABORATORY TECHNOLOGY,CARDIAC & CARDIOVASCULAR SYSTEMS,"PSYCHOLOGY, CLINICAL",MICROSCOPY,"HOSPITALITY, LEISURE, SPORT & TOURISM","PSYCHOLOGY, MATHEMATICAL",HISTORY & PHILOSOPHY OF SCIENCE,PHILOSOPHY,HEALTH POLICY & SERVICES,NURSING,PSYCHIATRY,SUBSTANCE ABUSE,GERONTOLOGY,DEMOGRAPHY,SOCIAL WORK,WOMENS STUDIES,BEHAVIORAL SCIENCES,CULTURAL STUDIES,"MATERIALS SCIENCE, PAPER & WOOD",COMMUNICATION,ENTOMOLOGY,OTORHINOLARYNGOLOGY,"PHYSICS, NUCLEAR","PHYSICS, PARTICLES & FIELDS",ANDROLOGY,"ENGINEERING, OCEAN",ANTHROPOLOGY,ARCHAEOLOGY,HORTICULTURE,"PSYCHOLOGY, BIOLOGICAL",VIROLOGY,"PSYCHOLOGY, EXPERIMENTAL",MINING & MINERAL PROCESSING,ART,INFORMATION SCIENCE & LIBRARY SCIENCE,"ENGINEERING, GEOLOGICAL","ENGINEERING, MARINE",AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY,LINGUISTICS,PRIMARY HEALTH CARE,"ENGINEERING, PETROLEUM","FILM, RADIO, TELEVISION",ETHNIC STUDIES,ARCHITECTURE,CRIMINOLOGY & PENOLOGY,"MEDICINE, LEGAL",PARASITOLOGY,ORNITHOLOGY,INTEGRATIVE & COMPLEMENTARY MEDICINE,THEATER,RELIGION,HISTORY OF SOCIAL SCIENCES,LITERATURE,LOGIC,LANGUAGE & LINGUISTICS,LITERARY THEORY & CRITICISM,LITERARY REVIEWS,FOLKLORE,CLASSICS,MUSIC,MEDIEVAL & RENAISSANCE STUDIES
T1646,FALSE,B,2007,9,0,0,J. NEUROTRAUMA,2012,0,Post,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1702,FALSE,A,2011,5,0,0,J. NEUROTRAUMA,2015,0,Post,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T3145,FALSE,D,2010,8,0,0,AM. J. TROP. MED. HYG.,2017,0,Post,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T2423,FALSE,C,2009,4,0.434182143,19,LAB CHIP,2014,4.75,Post,2,,,,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,14,,1,11,,3,,,,,,,1,,,,,,,,,,,11,13,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1961,FALSE,C,2009,4,0.572372,27,MICROFLUID. NANOFLUID.,2014,6.75,Post,13,,,,7,,,,,,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,9,43,,2,32,,8,4,1,,,,1,5,,,,2,4,,,,1,,33,47,,2,,,,,,,2,,2,,,,2,4,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T2460,FALSE,C,2009,5,0.481364964,96,LAB CHIP,2009,10.66666667,Pre,7,,,,8,,,,,,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3,20,,3,15,3,8,2,1,,,,1,3,,,,,3,,,,,,15,20,,2,,,,1,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T816,FALSE,C,2009,8,0.414209524,2,CONSTR. BUILD. MATER.,2017,2,Post,23,,,,,,,,,,,,,,,,,,,,6,2,,,,,,,,,,,,,,1,,,5,,,8,,,,,,,,,,,,,2,,,,,1,,,,,,,1,,,,1,,,,,,,,,,,3,,,,,,,,2,,,,5,,,,14,4,,17,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T2424,TRUE,C,2009,2,0.456595238,33,BUS. SOC.,2014,8.25,Post,32,,,,,,,,,,,,,,,,15,2,,,1,1,1,,,,,,,,5,,2,3,7,1,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,4,,15,,1,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T3144,TRUE,C,2009,2,0.504908451,4,BUS. SOC.,2017,4,Post,30,,,,,,,,,,1,,,,,,11,2,,1,3,4,,,,,,,,,7,,1,1,4,4,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,,,1,,2,,,,1,,,,,2,,7,,19,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T3068,FALSE,D,2010,19,0.330882353,0,NAT. ECOL. EVOL.,2017,0,Post,3,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,7,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,14,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1543,TRUE,D,2010,17,0.440927778,85,CONSERV. BIOL.,2010,10.625,Pre,13,2,,,,,,,,,4,,,,,,6,1,,,,,,,,,,,,1,9,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,,4,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
T3436,FALSE,ERROR,ERROR,9,0.23275625,31,NANO LETT.,2011,4.428571429,ERROR,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,13,12,,17,6,,,,,,,,13,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T3242,FALSE,C,2009,12,0.43587931,0,THER. DRUG MONIT.,2017,0,Post,6,,,,,,,,,,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,2,,,3,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1147,FALSE,C,2009,11,0.17765752,109,ADV. FUNCT. MATER.,2010,13.625,Post,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,31,16,,22,29,2,,,,,,,,30,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T441,FALSE,C,2009,5,0.44325,5,SEP. SCI. TECHNOL.,2014,1.25,Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,1,,,1,1,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T2161,FALSE,C,2009,5,0.243190476,7,NUMER. HEAT TRANF. A-APPL.,2013,1.4,Post,14,,,,,,,,,,,,,,,,,,,,9,2,,,,,,,,,,,,,,,,,12,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,11,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T3002,TRUE,B,2007,3,0.539804878,10,J. APPL. POLYM. SCI.,2011,1.428571429,Post,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,2,6,,,3,,,,1,,2,4,2,,,,,,,,,1,,,,,,,,,,,,5,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T2354,TRUE,D,2010,7,0.542794118,1,APPL. BIOCHEM. BIOTECHNOL.,2012,0.166666667,Post,6,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,1,,,,2,,,,,,,1,,,,,1,,,1,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T153,FALSE,ERROR,ERROR,9,0.263380952,6,J. CRYST. GROWTH,2010,0.75,ERROR,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,5,2,2,8,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1687,FALSE,C,2009,8,0.346575758,38,CANCER SCI.,2006,3.166666667,Pre,2,,,,,,,,,,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2,,,1,9,1,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T2194,FALSE,ERROR,ERROR,9,0.302964103,54,NANO LETT.,2010,6.75,ERROR,,,,,3,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,7,6,,11,4,,,,,,,,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T400,FALSE,C,2009,9,0.266965909,14,J. PHYS. CHEM. LETT.,2012,2.333333333,Post,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,18,14,,9,37,1,,,,,,,4,23,,2,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T921,FALSE,B,2007,4,0.644059748,8,J. BIOMED. MATER. RES. PART B,2013,1.6,Post,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,46,16,,2,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,6,,,,,,,,,,,,13,4,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,4,,1,,,,,,,9,1,,,,,,,1,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1579,FALSE,A,2011,8,0.280944444,93,AM. J. SURG.,2008,9.3,Pre,9,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T2907,FALSE,C,2009,4,0.08275,8,J. NON-CRYST. SOLIDS,2006,0.666666667,Pre,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1033,FALSE,C,2009,4,0,0,ABSTR. PAP. AM. CHEM. SOC.,2006,0,Pre,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T3288,FALSE,ERROR,ERROR,8,0.218822222,3,APPL. PHYS. LETT.,2016,1.5,ERROR,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,9,5,,7,,,,,,,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1010,FALSE,E,2011,3,0.510755102,0,J. BIOMED. MATER. RES. PART B,2017,0,Post,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,4,,1,1,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T934,FALSE,C,2009,5,0.488122449,56,J. MATER. RES.,2009,6.222222222,Pre,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,2,3,2,,1,2,,,1,,,,,,2,9,,,,,,1,,,,,1,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,1,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T904,TRUE,E,2011,3,0,0,ABSTR. PAP. AM. CHEM. SOC.,2012,0,Post,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T2503,FALSE,C,2009,3,0.486300654,45,INT. J. HYDROG. ENERGY,2008,4.5,Pre,4,,,,,,,,,,1,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,9,,,,,8,,,,,,,,,9,,,,,1,,7,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T2823,FALSE,C,2009,2,0.191979651,22,THIN SOLID FILMS,2008,2.2,Pre,9,,,,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,17,3,,10,3,4,,,,,,,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
